Product_Name,Category_Type,Sale_Price,Original_Price,Discount_Percentage,Rating,Review_Count,Stock_Status,Available_Colors,Tags
Wave Earbuds,Earbuds,3999.0,14999.0,73.0,4.83,1439.0,In Stock,"Blue, White, Brown, Silver Black","10 10 Sale, 11 11 Pair Two, earbuds, Funday Sale, Hot deals, Monsoon 500, sale, wave"
Ninja Smartwatch,Smart Watch,10999.0,32000.0,66.0,4.85,104.0,In Stock,"Camou Green, Camou Gray, Black, Green","10 10 Sale, Summer 2000"
Thunder Earbuds,Earbuds,4999.0,14999.0,67.0,4.6,5.0,Out of Stock,"Forest Green, Aqua Green, Jet Black, White","10 10 Sale, defence bestsellers, earbuds, Funday Sale"
Quantum Earbuds,Earbuds,5999.0,19999.0,70.0,4.86,794.0,In Stock,"Aurora Green, Blazing Red, Jet Black, Glacier Blue, Calm Beige","10 10 Sale, defence bestsellers, defence-earbuds, earbuds, Funday Sale, Hot deals, jinnah-sale, Monsoon 1000, sale, Summer 1000"
Revoltt Smartwatch,Smart Watch,11999.0,29999.0,60.0,4.84,373.0,Out of Stock,"Gun Metal, Silver, Gold, Blue","10 10 Sale, defence bestsellers, defence watches, Hot deals, luxury, Monsoon 2000, platinum series products, revoltt, sale, Summer 2000"
Elite Smartwatch,Smart Watch,11899.0,19999.0,41.0,4.9,148.0,In Stock,"Starlight, Rose Gold, Black","10 10 Sale, Clearance, defence watches, elite, platinum series products, pre-order, smart watch, smart watch price in pakistan"
Rover Earbuds,Earbuds,4499.0,14999.0,70.0,4.92,12.0,Out of Stock,"Forest Green, Aqua Green, White, Jet Black","10 10 Sale, earbuds, Funday Sale"
Phantom Pro Smartwatch,Smart Watch,9999.0,29998.0,67.0,4.95,20.0,Out of Stock,"Magnetic Blue Orange, Magnetic Marsala Orange, Ocean Blue Orange, Ocean Gray Orange, Gray Nylon, Magnetic Black, Ocean Black Orange, Green Nylon, Black Nylon","10 10 Sale, Hot deals, phantom, smart watch, smart watch price in pakistan, smartwatch"
Vogue Smartwatch,Smart Watch,17999.0,35999.0,50.0,4.9,49.0,In Stock,"Gold Blue, Black Gold, Black, Silver, Gold Black","10 10 Sale, defence watches, Hot deals, Influencer Video, luxury, Monsoon 2000, platinum series products, pre-order, premium-card, smartwatch"
Royale Smartwatch,Smart Watch,13999.0,32999.0,58.0,4.92,71.0,In Stock,"Titanium Silver, Golden Metal, Black Strap, Blue Strap, Black Metal","10 10 Sale, defence watches, Hot deals, Influencer Video, luxury, premium-card, royale, sale, smartwatch"
Nova Smartwatch,Smart Watch,6999.0,23499.0,70.0,4.83,84.0,Out of Stock,"Black, Golden, Blue, Nova Gray, Jet Black, Rainbow","10 10 Sale, Funday Sale"
Delta Smartwatch,Smart Watch,8999.0,29999.0,70.0,4.76,21.0,Out of Stock,"Black Gold, Masala Red, Gray Gun Metal","10 10 Sale, smartwatch"
Pixel Smartwatch,Smart Watch,7999.0,24999.0,68.0,4.96,27.0,Out of Stock,"Rainbow Gold, Golden, Silver, Black","10 10 Sale, luxury, smartwatch"
Infinity Smartwatch,Smart Watch,8999.0,23499.0,62.0,4.93,29.0,Out of Stock,"Rose Gold, Silver, Black","10 10 Sale, defence watches, Hot deals, smartwatch"
Astro Earbuds,Earbuds,4799.0,14999.0,68.0,5.0,38.0,Out of Stock,"Jet Black, Forest Green, Mauve, Calm Beige","10 10 Sale, defence bestsellers, earbuds"
Meta Smartwatch,Smart Watch,6999.0,19999.0,65.0,4.84,87.0,Out of Stock,"Black, Silver, Rose Gold","10 10 Sale, sale, smartwatch, Summer 500"
Matrix Pro AMOLED Smart Watch,Smart Watch,12999.0,29999.0,57.0,4.8,81.0,Out of Stock,"Forest Green, Gold, Misty Grey, Jet Black, Silver, Black",10 10 Sale
Drift Smart Watch,Smart Watch,12999.0,29000.0,55.0,4.64,59.0,Out of Stock,"Orange, Red, Blue, Blue Gold, Green Gold, Gold Black, Black","10 10 Sale, Summer 2000"
